endTime,artistName,trackName,msPlayed,user_id,external_urls,spotify_id,album,popularity,duration_ms,track_number,album_artwork,artists_involved,genre,release_date,genres,percentage_listened
2024-07-24 12:05:00,Adam Lambert,FACE,17716,ezra,https://open.spotify.com/track/1LJJFvIOH69VOOFCCV44JQ,1LJJFvIOH69VOOFCCV44JQ,AFTERS,31.0,179284.0,6.0,https://i.scdn.co/image/ab67616d0000b2734ceb0f4b44667a6061609e5a,['Adam Lambert'],,2024-07-19,"['dance pop', 'idol', 'pop', 'post-teen pop']",0.09881528747685236
2024-07-24 12:09:00,OneRepublic,Counting Stars,253932,ezra,https://open.spotify.com/track/2tpWsVSb9UEmDRxAl1zhX1,2tpWsVSb9UEmDRxAl1zhX1,Native,84.0,257265.0,1.0,https://i.scdn.co/image/ab67616d0000b2739e2f95ae77cf436017ada9cb,['OneRepublic'],,2013-01-01,"['piano rock', 'pop']",0.9870444872019124
2024-07-24 12:12:00,Dua Lipa,Physical,180263,ezra,https://open.spotify.com/track/3AzjcOeAmA57TIOr9zF1ZW,3AzjcOeAmA57TIOr9zF1ZW,Future Nostalgia,73.0,193829.0,4.0,https://i.scdn.co/image/ab67616d0000b2734bc66095f8a70bc4e6593f4f,['Dua Lipa'],,2020-03-27,"['dance pop', 'pop', 'uk pop']",0.9300104731490128
2024-07-24 12:14:00,mousike,Take a Hint,148446,ezra,https://open.spotify.com/track/52cVEyTjHo9fHNjbdTwyrh,52cVEyTjHo9fHNjbdTwyrh,Take a Hint,57.0,154807.0,1.0,https://i.scdn.co/image/ab67616d0000b2731e2ba018f0ed48884dd5998a,['mousike'],,2021-05-07,[],0.9589101268030515
2024-07-24 12:18:00,Justin Timberlake,"CAN'T STOP THE FEELING! (from DreamWorks Animation's ""TROLLS"")",226592,ezra,https://open.spotify.com/track/1WkMMavIMc4JZ8cfMmxHkI,1WkMMavIMc4JZ8cfMmxHkI,TROLLS (Original Motion Picture Soundtrack),70.0,237546.0,2.0,https://i.scdn.co/image/ab67616d0000b273d965d29d7dcf46ade5a8a7e4,['Justin Timberlake'],,2016-09-23,"['dance pop', 'pop']",0.9538868261305179
2024-07-24 12:21:00,David Guetta,Turn Me On (feat. Nicki Minaj),188909,ezra,https://open.spotify.com/track/6JOlNkT0QdHeZB0wPbI9IR,6JOlNkT0QdHeZB0wPbI9IR,Nothing but the Beat 2.0,58.0,199680.0,2.0,https://i.scdn.co/image/ab67616d0000b273a197a2ef3ad6704d1f44aa4e,"['David Guetta', 'Nicki Minaj']",,2011-08-24,"['big room', 'dance pop', 'edm', 'hip pop', 'pop', 'pop dance', 'queens hip hop', 'rap']",0.9460586939102564
2024-07-24 12:25:00,Pitbull,International Love (feat. Chris Brown),224209,ezra,https://open.spotify.com/track/62zFEHfAYl5kdHYOivj4BC,62zFEHfAYl5kdHYOivj4BC,Planet Pit (Deluxe Version),77.0,227280.0,8.0,https://i.scdn.co/image/ab67616d0000b2731dc7483a9fcfce54822a2f19,"['Pitbull', 'Chris Brown']",,2011-06-17,"['dance pop', 'miami hip hop', 'pop', 'r&b', 'rap']",0.9864880323829638
2024-07-24 12:27:00,Crazy Ex-Girlfriend Cast,So Maternal (feat. Rachel Bloom & Jamie Denbo),112407,ezra,https://open.spotify.com/track/5gbKpiUAyrNGD1WnWQyjlh,5gbKpiUAyrNGD1WnWQyjlh,Crazy Ex-Girlfriend: Season 2 (Original Television Soundtrack),18.0,115175.0,21.0,https://i.scdn.co/image/ab67616d0000b273aa3293e605dec5efa704caa3,"['Crazy Ex-Girlfriend Cast', 'Jamie Denbo', 'Rachel Bloom']",,2017-03-03,[],0.9759670067288908
2024-07-24 12:30:00,Taylor Swift,Bad Blood,196008,ezra,,,,,,,,,,,,
2024-07-24 12:33:00,Fitz and The Tantrums,HandClap,175060,ezra,https://open.spotify.com/track/4qRaZYiaOsSvWC7VgcxrI0,4qRaZYiaOsSvWC7VgcxrI0,Fitz and The Tantrums (Deluxe Edition),62.0,193253.0,2.0,https://i.scdn.co/image/ab67616d0000b2734d991176cbf36bd168e00a0a,['Fitz and The Tantrums'],,2017-07-24,"['la indie', 'modern alternative rock', 'modern rock', 'pop rock', 'pov: indie']",0.9058591587193989
2024-07-24 12:36:00,Iggy Azalea,Black Widow,204118,ezra,https://open.spotify.com/track/7pNC5ZIKtwUK0ReSpM3P9f,7pNC5ZIKtwUK0ReSpM3P9f,The New Classic,63.0,209423.0,10.0,https://i.scdn.co/image/ab67616d0000b273ecdc9b06e4b96c6ed4c83699,"['Iggy Azalea', 'Rita Ora']",,2014-01-01,"['australian hip hop', 'dance pop', 'pop', 'uk pop']",0.974668493909456
2024-07-24 12:39:00,Christina Aguilera,Candyman,187907,ezra,https://open.spotify.com/track/5lUTzPuiloBHm1qEaJcJfF,5lUTzPuiloBHm1qEaJcJfF,Back To Basics,63.0,194213.0,3.0,https://i.scdn.co/image/ab67616d0000b273d74f4550a6e409bf51652db7,['Christina Aguilera'],,2006-08-14,"['dance pop', 'pop']",0.9675304948690355
2024-07-24 12:42:00,Bingo Players,Get Up (Rattle) [feat. Far East Movement] - Vocal Edit,151860,ezra,https://open.spotify.com/track/3wLPRjw2XQpmowqXUXb3UF,3wLPRjw2XQpmowqXUXb3UF,Get Up (Rattle) [feat. Far East Movement],72.0,166932.0,1.0,https://i.scdn.co/image/ab67616d0000b27356aa362afd37024d8ba7d98f,"['Bingo Players', 'Far East Movement']",,2012-12-08,"['asian american hip hop', 'big room', 'dance pop', 'dutch house', 'edm', 'electro house', 'melbourne bounce', 'pop dance', 'pop rap', 'progressive electro house', 'progressive house']",0.9097117389116527
2024-07-24 12:45:00,Caravan Palace,Lone Digger,179932,ezra,https://open.spotify.com/track/6Ntz1uQoMF8L2E4w518BFp,6Ntz1uQoMF8L2E4w518BFp,<I°_°I>,57.0,229804.0,1.0,https://i.scdn.co/image/ab67616d0000b2735e0307d628a433208080582a,['Caravan Palace'],,2015-10-16,"['electro swing', 'nu jazz']",0.7829802788463213
2024-07-24 12:47:00,Lizzo,Good as Hell,153975,ezra,https://open.spotify.com/track/6KgBpzTuTRPebChN0VTyzV,6KgBpzTuTRPebChN0VTyzV,Cuz I Love You (Super Deluxe),66.0,159735.0,15.0,https://i.scdn.co/image/ab67616d0000b273bf7d271b8f3051af3cf0bf55,['Lizzo'],,2019-04-17,"['escape room', 'minnesota hip hop', 'pop', 'trap queen']",0.9639402760822613
2024-07-24 12:51:00,Flume,Never Be Like You (feat. Kai),231836,ezra,https://open.spotify.com/track/14gdERIqymApVn9vcsbmZ3,14gdERIqymApVn9vcsbmZ3,Skin,69.0,234909.0,2.0,https://i.scdn.co/image/ab67616d0000b2731f5401ac1d92b898aebde996,"['Flume', 'kai']",,2016-05-27,"['australian dance', 'australian electropop', 'australian indie', 'downtempo', 'edm', 'indietronica']",0.9869183385906883
2024-07-24 13:04:00,Annie Murphy,A Little Bit Alexis (From Schitt's Creek),178736,ezra,https://open.spotify.com/track/35rKES1xTTAg5ruZvM81JK,35rKES1xTTAg5ruZvM81JK,A Little Bit Alexis (From Schitt's Creek),39.0,206899.0,1.0,https://i.scdn.co/image/ab67616d0000b2731cb0269b82c20cf23a5d21f1,['Annie Murphy'],,2019-02-27,[],0.8638804440814117
