endTime,artistName,trackName,msPlayed,user_id
2024-05-28 12:06:00,Rachel Bloom,West Covina,199191,ezra
2024-05-28 12:11:00,Adele,Set Fire to the Rain,242973,ezra
2024-05-28 12:14:00,Alicia Keys,Girl on Fire,224920,ezra
2024-05-28 12:17:00,32ki,メズマライザー (feat. 初音ミク&重音テト),156972,ezra
2024-05-28 12:20:00,Ado,唱,189772,ezra
2024-05-28 12:25:00,Adele,Hello,295502,ezra
2024-05-28 12:29:00,Ado,New Genesis,226813,ezra
2024-05-28 12:32:00,Adele,Make You Feel My Love,212040,ezra
2024-05-28 12:37:00,YOASOBI,夜に駆ける,261013,ezra
2024-05-28 12:40:00,Kairikibear,ベノム,203033,ezra
2024-05-28 12:44:00,Adele,Chasing Pavements,210506,ezra
2024-05-28 12:47:00,Alexandra Stan,Mr. Saxobeat - Radio Edit,195105,ezra
2024-05-28 12:49:00,Kanaria,KING,135500,ezra
2024-05-28 12:53:00,Nicki Minaj,Anaconda,260240,ezra
2024-05-28 12:57:00,Adam Lambert,Whataya Want from Me,227320,ezra
2024-05-28 12:59:00,高橋あず美,Changing Seasons -Reload-,80765,ezra
2024-05-28 12:59:00,平田志穂子,Heaven,1813,ezra
2024-05-28 12:59:00,Unknown Artist,Unknown Track,5694,ezra
2024-05-28 13:00:00,Billie Eilish,bad guy,12284,ezra
2024-05-28 13:00:00,Modjo,Lady - Hear Me Tonight,6871,ezra
2024-05-28 13:00:00,Unknown Artist,Unknown Track,4387,ezra
2024-05-28 13:00:00,Conan Gray,Maniac,2176,ezra
2024-05-28 13:00:00,Lord Huron,The Night We Met,1621,ezra
2024-05-28 13:00:00,Capital Cities,Safe And Sound,1194,ezra
2024-05-28 13:00:00,Unknown Artist,Unknown Track,6608,ezra
2024-05-28 13:00:00,Dusty Springfield,Spooky (Single Version),6591,ezra
2024-05-28 13:01:00,Doja Cat,Boss Bitch,67136,ezra
2024-05-28 13:01:00,Crystal Castles,Kerosene,5656,ezra
2024-05-28 13:01:00,Unknown Artist,Unknown Track,3735,ezra
2024-05-28 13:01:00,Alexandra Stan,Mr. Saxobeat - Radio Edit,1749,ezra
2024-05-28 13:01:00,Kendrick Lamar,Swimming Pools (Drank),1343,ezra
2024-05-28 13:01:00,The Score,Born For This,981,ezra
2024-05-28 13:01:00,Britney Spears,Circus,1109,ezra
2024-05-28 13:01:00,MARINA,Primadonna,1194,ezra
2024-05-28 13:01:00,Gwen Stefani,Bubble Pop Electric,2026,ezra
2024-05-28 13:02:00,Joe Hisaishi,Merry-Go-Round of Life - from 'Howl's Moving Castle',12117,ezra
2024-05-28 13:02:00,My Chemical Romance,Teenagers,3431,ezra
2024-05-28 13:02:00,The Weeknd,The Hills,11413,ezra
2024-05-28 13:02:00,Unknown Artist,Unknown Track,7627,ezra
2024-05-28 13:02:00,来兎,Blood Drain -Again- (Eltnum Theme),4713,ezra
2024-05-28 13:02:00,川村ゆみ,MAZE OF LIFE,4416,ezra
2024-05-28 13:02:00,Olivia Rodrigo,vampire,1642,ezra
2024-05-28 13:02:00,Imagine Dragons,Warriors,1429,ezra
2024-05-28 13:03:00,来兎,Blood Drain -Again- (Eltnum Theme),2815,ezra
2024-05-28 13:03:00,川村ゆみ,MAZE OF LIFE,76885,ezra
2024-05-28 13:04:00,Estelle,American Boy,2688,ezra
2024-05-28 13:04:00,Falk Au Yeong,Vs Fark,4181,ezra
2024-05-28 13:04:00,Jessie J,Domino,1685,ezra
2024-05-28 13:04:00,Shakira,"Whenever, Wherever",6658,ezra
2024-05-28 13:04:00,David Guetta,Titanium (feat. Sia),831,ezra
2024-05-28 13:04:00,Unknown Artist,Unknown Track,6426,ezra
2024-05-28 16:04:00,Aja,C.L.A.T. (feat. DJ Mitch Ferrino),195263,ezra
2024-05-28 16:04:00,Aja,C.L.A.T. (feat. DJ Mitch Ferrino),2113,ezra
2024-05-28 16:04:00,Unknown Artist,Unknown Track,5041,ezra
2024-05-28 16:05:00,Britney Spears,If U Seek Amy,10139,ezra
2024-05-28 16:05:00,Unknown Artist,Unknown Track,4127,ezra
2024-05-28 16:05:00,Calvin Harris,Feel So Close - Radio Edit,7914,ezra
2024-05-28 16:05:00,Lady Gaga,Poker Face,34954,ezra
2024-05-28 16:05:00,Metallica,Master of Puppets (Remastered),874,ezra
2024-05-28 16:05:00,Lady Gaga,Applause,1514,ezra
2024-05-28 16:05:00,Unknown Artist,Unknown Track,5275,ezra
2024-05-28 16:05:00,Queen,Bohemian Rhapsody - Remastered 2011,768,ezra
2024-05-28 16:05:00,Unknown Artist,Unknown Track,6895,ezra
2024-05-28 16:05:00,DNCE,Cake By The Ocean,874,ezra
2024-05-28 16:05:00,KISS,I Was Made For Lovin' You,1750,ezra
2024-05-28 16:05:00,t.A.T.u.,All The Things She Said,1045,ezra
