trackName,artistName,external_urls,spotify_id,album,popularity,duration_ms,track_number,album_artwork,artists_involved,genre,release_date,genres
Tokyo Station,Mikito P,https://open.spotify.com/track/14vwu2LlWug9vqwI0k9YsO,14vwu2LlWug9vqwI0k9YsO,Boku wa Hatsue Miku to Kiss wo Shita,14.0,255085.0,6.0,https://i.scdn.co/image/ab67616d0000b273b0793d39b6f8c615120f1a61,"['Mikito P', 'Hatsune Miku']",,2013,"['anime rock', 'rhythm game', 'vocaloid']"
Bad Apple!! (from Touhou),Miku and Friends,https://open.spotify.com/track/3apupCDZ3Q9Ha264NLWptB,3apupCDZ3Q9Ha264NLWptB,Happy Happy (Japan Anime Special),20.0,228754.0,1.0,https://i.scdn.co/image/ab67616d0000b2735b5d209569472799f9818d6b,['Miku and Friends'],,2011-12-16,[]
Dancing Samurai,Miku and Friends,https://open.spotify.com/track/2otImscMy8QoAolXPvIwMo,2otImscMy8QoAolXPvIwMo,Happy Happy (Japan Anime Special),27.0,214142.0,6.0,https://i.scdn.co/image/ab67616d0000b2735b5d209569472799f9818d6b,['Miku and Friends'],,2011-12-16,[]
See You Again,Miley Cyrus,https://open.spotify.com/track/3AjyOYxBv8bByfBtG5o9dP,3AjyOYxBv8bByfBtG5o9dP,Meet Miley Cyrus,65.0,190453.0,1.0,https://i.scdn.co/image/ab67616d0000b273ecefbb245706615f71036b9e,['Miley Cyrus'],,2007-06-26,['pop']
Butterfly Fly Away,Miley Cyrus,https://open.spotify.com/track/2ZTCl6wQMDSMfY4s8GHZdj,2ZTCl6wQMDSMfY4s8GHZdj,Hannah Montana The Movie,59.0,189240.0,9.0,https://i.scdn.co/image/ab67616d0000b2730e8ba185f3e9f15630a7b5fb,"['Miley Cyrus', 'Billy Ray Cyrus']",,2009-01-01,"['country rock', 'pop']"
Angels Like You,Miley Cyrus,https://open.spotify.com/track/1daDRI9ahBonbWD8YcxOIB,1daDRI9ahBonbWD8YcxOIB,Plastic Hearts,78.0,196453.0,3.0,https://i.scdn.co/image/ab67616d0000b2738cffb7c6c40759eaf8a5a142,['Miley Cyrus'],,2020-11-27,['pop']
Wrecking Ball,Miley Cyrus,https://open.spotify.com/track/2vwlzO0Qp8kfEtzTsCXfyE,2vwlzO0Qp8kfEtzTsCXfyE,Bangerz (Deluxe Version),78.0,221360.0,6.0,https://i.scdn.co/image/ab67616d0000b2736b18d0490878750cd69abf2c,['Miley Cyrus'],,2013-10-04,['pop']
G.N.O. - Girl's Night Out,Miley Cyrus,https://open.spotify.com/track/5uGGmsI5G6i3OvgjRziSI0,5uGGmsI5G6i3OvgjRziSI0,Meet Miley Cyrus,36.0,215800.0,4.0,https://i.scdn.co/image/ab67616d0000b273ecefbb245706615f71036b9e,['Miley Cyrus'],,2007-06-26,['pop']
Dream,Miley Cyrus,https://open.spotify.com/track/3RfNQMIeuL2QC9l4VxOMoj,3RfNQMIeuL2QC9l4VxOMoj,Hannah Montana The Movie,51.0,201573.0,7.0,https://i.scdn.co/image/ab67616d0000b2730e8ba185f3e9f15630a7b5fb,['Miley Cyrus'],,2009-01-01,['pop']
7 Things - Single Version,Miley Cyrus,https://open.spotify.com/track/5ecZWU5uQOiCVSnPxBZNmT,5ecZWU5uQOiCVSnPxBZNmT,Breakout,59.0,213453.0,2.0,https://i.scdn.co/image/ab67616d0000b273e345458751c029f411db3d5b,['Miley Cyrus'],,2008-01-01,['pop']
Malibu,Miley Cyrus,https://open.spotify.com/track/1UZOjK1BwmwWU14Erba9CZ,1UZOjK1BwmwWU14Erba9CZ,Younger Now,69.0,231906.0,2.0,https://i.scdn.co/image/ab67616d0000b2739012e092ad8ed4731ea11134,['Miley Cyrus'],,2017-09-29,['pop']
Jolene - Live,Miley Cyrus,https://open.spotify.com/track/39HFKh08mU0aktj9UulRnY,39HFKh08mU0aktj9UulRnY,ATTENTION: MILEY LIVE,56.0,266989.0,13.0,https://i.scdn.co/image/ab67616d0000b2730cb72bf16e0692468d81465b,['Miley Cyrus'],,2022-04-29,['pop']
