endTime,artistName,trackName,msPlayed,user_id,spotify_id,album,popularity,duration_ms,track_number,album_artwork,external_urls,artists_involved,release_date
2023-12-07 22:00:00,Radiant Children,Poke Bowl,139482,samfa,26a0ElNCiYFFU6ctqlYk31,Poke Bowl,32.0,271063.0,1.0,https://i.scdn.co/image/ab67616d0000b27380f3f0030ae962d00f18affa,https://open.spotify.com/track/26a0ElNCiYFFU6ctqlYk31,Radiant Children,2018-07-18
2023-12-09 01:00:00,Pink Martini,Ocho Kandelikas,137266,samfa,5eLyTGbGjW0GXCzwgCbFEM,Joy to the World,23.0,137266.0,12.0,https://i.scdn.co/image/ab67616d0000b27389bf1ef294a1a5e169007bdf,https://open.spotify.com/track/5eLyTGbGjW0GXCzwgCbFEM,Pink Martini,2010
2023-12-09 01:04:00,Daniel Kahn,Ikh Vel Zayn Bafrayt,215282,samfa,6p9qNcBO7yjfDgR9uySm6c,Word Beggar,5.0,215282.0,8.0,https://i.scdn.co/image/ab67616d0000b273b2ccac1ef670ab284aeaec7b,https://open.spotify.com/track/6p9qNcBO7yjfDgR9uySm6c,Daniel Kahn,2021-11-19
2023-12-09 01:07:00,Indigo Girls,Happy Joyous Hanukkah,220413,samfa,6MEsn0DpqBBV6dhDRASOd3,Holly Happy Days,25.0,220413.0,10.0,https://i.scdn.co/image/ab67616d0000b273d4757a0ebd33e3a1ae8c7574,https://open.spotify.com/track/6MEsn0DpqBBV6dhDRASOd3,Indigo Girls,2010-01-01
2023-12-09 01:11:00,Pharaoh's Daughter,Maoz Tzur,250466,samfa,2ZTFazPZOhj1EuOvwejVqG,Dumiyah,4.0,250466.0,5.0,https://i.scdn.co/image/ab67616d0000b2732044116594bc2a582d554362,https://open.spotify.com/track/2ZTFazPZOhj1EuOvwejVqG,Pharaoh's Daughter,2014-09-02
2023-12-09 01:15:00,Sarah Aroeste,Azeremos una Merenda,195140,samfa,6UtvwhNP54W6Px0IPm5l8t,Hanuká!,1.0,195140.0,1.0,https://i.scdn.co/image/ab67616d0000b2739b3faf7364f3d5d37dadf0f5,https://open.spotify.com/track/6UtvwhNP54W6Px0IPm5l8t,Sarah Aroeste,2021-11-19
2023-12-09 01:18:00,Klezmer Conservatory Band,O Ir Kleyne Likhtelekh,177173,samfa,698qbXxoYv2pqSC9LkMB2z,Oy Chanukah!,2.0,177173.0,15.0,https://i.scdn.co/image/ab67616d0000b273a5ba0e3af602fc5ce77108bd,https://open.spotify.com/track/698qbXxoYv2pqSC9LkMB2z,Klezmer Conservatory Band,1987-01-01
2023-12-09 01:21:00,Nossa Bossa Nova,Maoz Tzur,198118,samfa,6h2Ysf6YVE8I64jzSdo95I,Maoz Tzur,8.0,198118.0,1.0,https://i.scdn.co/image/ab67616d0000b273d765903fbfaaf96ea4efedd9,https://open.spotify.com/track/6h2Ysf6YVE8I64jzSdo95I,Nossa Bossa Nova,2014-12-05
2023-12-09 01:25:00,The Afro-Semitic Experience,Descarga Ocho Kandelikas,216546,samfa,5e9NvO2M8MsFGB4CsGqvuR,The Hanukkah Lounge (Instrumental Jew Music),2.0,216546.0,7.0,https://i.scdn.co/image/ab67616d0000b2738ee83d2e3a9386f070406ef7,https://open.spotify.com/track/5e9NvO2M8MsFGB4CsGqvuR,The Afro-Semitic Experience,2005-01-01
2023-12-09 01:29:00,Yale Strom's Broken Consort,"Khanike, Oh, Khanike",287480,samfa,1tmCzHDCRhp81EdWuJijJc,Shimmering Lights,0.0,287480.0,2.0,https://i.scdn.co/image/ab67616d0000b273c1eff11337b266d483221c88,https://open.spotify.com/track/1tmCzHDCRhp81EdWuJijJc,Yale Strom's Broken Consort,2018-10-05
2023-12-09 01:35:00,Gerard Edery,Mi Ze Yemalel,325466,samfa,2zEgmoZQDB7N6U9wt4ZiIo,Shiru Hakadosh,0.0,325466.0,12.0,https://i.scdn.co/image/ab67616d0000b273c29b1aa4f5b00b7791405c19,https://open.spotify.com/track/2zEgmoZQDB7N6U9wt4ZiIo,Gerard Edery,2012-09-11
2023-12-09 01:39:00,Alberto Mizrahi & Trio Globo,My Yemalel,269293,samfa,5ceSfwh6LEZrBtFjtsFvik,"Matzah to Menorah: A Holiday Jazz Celebration (feat. Howard Levy, Eugene Friesen & Glen Velez)",1.0,269293.0,10.0,https://i.scdn.co/image/ab67616d0000b2735e00e48fa534af185b2cd0c0,https://open.spotify.com/track/5ceSfwh6LEZrBtFjtsFvik,Alberto Mizrahi & Trio Globo,2013-01-14
2023-12-09 01:40:00,Flory Jagoda,Ocho Kandelikas,58183,samfa,12g1cskcl27kbhKlNyjYgw,Kantikas Di Mi Nona (Songs of My Grandmother),15.0,124200.0,11.0,https://i.scdn.co/image/ab67616d0000b273c6d81b551c2315e43060c199,https://open.spotify.com/track/12g1cskcl27kbhKlNyjYgw,Flory Jagoda,1989-01-01
2023-12-10 00:32:00,Amy Winehouse,Like Smoke,82360,samfa,2r45rookK2awLkiOHOef1o,Lioness: Hidden Treasures,52.0,278000.0,5.0,https://i.scdn.co/image/ab67616d0000b2734c896e873306c17847c254e9,https://open.spotify.com/track/2r45rookK2awLkiOHOef1o,"Amy Winehouse, Nas",2011-01-01
2023-12-10 00:36:00,The Roots,You Got Me,259306,samfa,4pdLZsxq0y5oJDb6Cxlokw,Things Fall Apart,64.0,259306.0,15.0,https://i.scdn.co/image/ab67616d0000b273bac8015c7e47644fb86e27e2,https://open.spotify.com/track/4pdLZsxq0y5oJDb6Cxlokw,"The Roots, Tariq Trotter, Erykah Badu, Eve",1999-02-23
