endTime,artistName,trackName,msPlayed,user_id
2023-12-12 02:05:00,Phoebe Bridgers,So Much Wine,243600,sammi
2023-12-12 02:11:00,Phoebe Bridgers,Day After Tomorrow,365141,sammi
2023-12-12 02:16:00,Phoebe Bridgers,Moon Song,277676,sammi
2023-12-12 07:03:00,EMMY,COOL GIRL,115200,sammi
2023-12-12 08:25:00,EMMY,Crying In My Boots,75242,sammi
2023-12-13 01:29:00,Marielle Kraft,10x Better,141818,sammi
2023-12-13 01:30:00,Marielle Kraft,10x Better,55804,sammi
2023-12-13 17:58:00,Sara Bareilles,Happy Enough,938,sammi
2023-12-13 17:58:00,Olivia Barton,Antisocial,44953,sammi
2023-12-13 20:22:00,Leith Ross,Monogamy,196313,sammi
2023-12-13 20:27:00,Leith Ross,Too Much Time In My House Alone,244952,sammi
2023-12-13 20:30:00,Leith Ross,5am,218181,sammi
2023-12-13 20:35:00,Leith Ross,Orlando - Live Session,310394,sammi
2023-12-13 20:41:00,Leith Ross,To Me,284846,sammi
2023-12-13 20:44:00,Leith Ross,I Just Don't Think That You Like Me That Much Anymore,206645,sammi
2023-12-13 20:46:00,Leith Ross,Everything Ends,88266,sammi
2023-12-13 20:50:00,Leith Ross,Ask First,263774,sammi
2023-12-13 20:58:00,Leith Ross,To Learn - Live Session,211863,sammi
2023-12-13 21:13:00,Leith Ross,(You) On My Arm - Live Session,249444,sammi
2023-12-13 21:26:00,Leith Ross,To Learn,137060,sammi
2023-12-13 21:26:00,Leith Ross,Orlando,7873,sammi
2023-12-13 21:26:00,Leith Ross,(You) On My Arm,1060,sammi
2023-12-13 21:26:00,Leith Ross,Interlude,1150,sammi
2023-12-13 21:31:00,Leith Ross,(You) On My Arm,249810,sammi
2023-12-13 21:32:00,Leith Ross,Interlude,63959,sammi
2023-12-13 21:33:00,Leith Ross,We'll Never Have Sex,100716,sammi
2023-12-13 21:39:00,Leith Ross,Music Box,265772,sammi
2023-12-14 21:48:00,Leith Ross,Guts,288223,sammi
2023-12-14 21:48:00,SMASH Cast,Let Me Be Your Star (SMASH Cast Version) (feat. Katharine McPhee & Megan Hilty),906,sammi
2023-12-14 21:49:00,Bring It On: The Musical - Original Broadway Cast,Something Isn't Right Here,960,sammi
2023-12-14 21:49:00,Jessica Keenan Wynn,Candy Store,928,sammi
2023-12-14 22:00:00,SMASH Cast,"Broadway, Here I Come! (SMASH Cast Version) (feat. Jeremy Jordan)",365406,sammi
2023-12-14 22:02:00,Keala Settle,I Didn't Plan It,159680,sammi
2023-12-14 22:06:00,Jeremy Jordan,What Was Good Enough for You,234613,sammi
2023-12-14 22:11:00,Anna Kendrick,I Can Do Better Than That,297333,sammi
2023-12-14 22:15:00,Jessie Mueller,What Baking Can Do,210266,sammi
2023-12-14 22:18:00,Jessie Mueller,Everything Changes,182146,sammi
2023-12-15 00:05:00,Jeanine Tesori,Maps,147990,sammi
2023-12-15 00:09:00,Noah Kahan,False Confidence,223400,sammi
2023-12-15 00:12:00,Noah Kahan,Mess,213320,sammi
2023-12-15 19:33:00,Noah Kahan,Hurt Somebody,85571,sammi
2023-12-15 19:35:00,Braden Bales,CHRONICALLY CAUTIOUS,119571,sammi
2023-12-16 21:03:00,boygenius,Voyager,168263,sammi
2023-12-16 21:07:00,Leith Ross,To Me,237328,sammi
2023-12-16 21:12:00,Emei,Better People To Leave On Read,9648,sammi
2023-12-16 21:13:00,Gracie Abrams,This is what the drugs are for,245610,sammi
2023-12-16 21:19:00,Leith Ross,Music Box,265772,sammi
2023-12-16 21:23:00,Phoebe Bridgers,Summer's End - Spotify Singles,234079,sammi
2023-12-16 21:27:00,Phoebe Bridgers,So Much Wine,243600,sammi
2023-12-16 21:53:00,Idina Menzel,We Need A Little Christmas,661,sammi
2023-12-16 21:53:00,Idina Menzel,We Need A Little Christmas,3313,sammi
2023-12-16 21:53:00,Darren Criss,St. Patrick’s Day,272,sammi
2023-12-16 21:53:00,Leith Ross,To Learn - Live Session,112034,sammi
2023-12-16 21:57:00,Justin Bieber,Santa Claus Is Coming To Town,216747,sammi
2023-12-16 22:00:00,Justin Bieber,Mistletoe,182947,sammi
2023-12-16 22:02:00,Pentatonix,Coldest Winter,148160,sammi
2023-12-16 22:03:00,Ariana Grande,Not Just On Christmas,31020,sammi
2023-12-16 22:06:00,Lucy Hale,Mistletoe,216907,sammi
2023-12-16 22:07:00,Pentatonix,Carol of the Bells,1495,sammi
