endTime,artistName,trackName,msPlayed,user_id,external_urls,spotify_id,album,popularity,duration_ms,track_number,album_artwork,artists_involved,release_date,genres,percentage_listened
2023-12-10 00:36:00,The Roots,You Got Me,259306,samfa,https://open.spotify.com/track/4pdLZsxq0y5oJDb6Cxlokw,4pdLZsxq0y5oJDb6Cxlokw,Things Fall Apart,64.0,259306.0,15.0,https://i.scdn.co/image/ab67616d0000b273bac8015c7e47644fb86e27e2,"['The Roots', 'Tariq Trotter', 'Erykah Badu', 'Eve']",1999-02-23,"['afrofuturism', 'alternative r&b', 'conscious hip hop', 'contemporary r&b', 'dance pop', 'east coast hip hop', 'hip hop', 'hip pop', 'neo soul', 'philly rap', 'political hip hop', 'r&b', 'urban contemporary']",100.0
2023-12-10 00:40:00,Erykah Badu,On & On,226133,samfa,https://open.spotify.com/track/0tNuJpBgtE65diL6Q8Q7fI,0tNuJpBgtE65diL6Q8Q7fI,Baduizm,66.0,226133.0,2.0,https://i.scdn.co/image/ab67616d0000b273b5e18a80757ba2f787213d21,['Erykah Badu'],1997-01-01,"['afrofuturism', 'alternative r&b', 'neo soul', 'r&b']",100.0
2023-12-10 00:43:00,The Temptations,My Girl,165000,samfa,https://open.spotify.com/track/745H5CctFr12Mo7cqa1BMH,745H5CctFr12Mo7cqa1BMH,The Temptations Sing Smokey,78.0,165000.0,3.0,https://i.scdn.co/image/ab67616d0000b2731a5b6271ae1c8497df20916e,['The Temptations'],1965-03-22,"['classic soul', 'disco', 'memphis soul', 'motown', 'soul']",100.0
2023-12-10 00:46:00,Prince,Kiss,226240,samfa,https://open.spotify.com/track/62LJFaYihsdVrrkgUOJC05,62LJFaYihsdVrrkgUOJC05,Parade - Music from the Motion Picture Under the Cherry Moon,71.0,226240.0,10.0,https://i.scdn.co/image/ab67616d0000b27323cc0f0a925845a3de4aca38,['Prince'],1986-03-31,"['funk', 'funk rock', 'minneapolis sound', 'rock', 'synth funk']",100.0
2023-12-10 00:49:00,Amy Winehouse,He Can Only Hold Her,166400,samfa,https://open.spotify.com/track/3eVo0wD4kGwF3gshtecZso,3eVo0wD4kGwF3gshtecZso,Back To Black (Deluxe Edition),65.0,166400.0,10.0,https://i.scdn.co/image/ab67616d0000b27376ffb5b5ab045d22c81235c1,['Amy Winehouse'],2006,"['british soul', 'neo soul']",100.0
2023-12-10 00:51:00,Bill Withers,Grandma's Hands,121080,samfa,https://open.spotify.com/track/1qfDfZAvrkSAFrAR2FTQDv,1qfDfZAvrkSAFrAR2FTQDv,Just As I Am,62.0,121080.0,3.0,https://i.scdn.co/image/ab67616d0000b273e1e350d06ffebd2e19e047ce,['Bill Withers'],1971-05-01,"['classic soul', 'funk', 'quiet storm', 'soul']",100.0
2023-12-10 00:54:00,Dusty Springfield,Spooky (Single Version),164933,samfa,https://open.spotify.com/track/4RYwE31p4KflK1h7J7m1Yt,4RYwE31p4KflK1h7J7m1Yt,Love Songs,61.0,164933.0,6.0,https://i.scdn.co/image/ab67616d0000b2735746d44a39a97aaa12309af1,['Dusty Springfield'],2020-01-31,"['adult standards', 'british invasion', 'folk rock', 'soul', 'vocal jazz']",100.0
2023-12-10 00:59:00,Erykah Badu,Appletree,265373,samfa,https://open.spotify.com/track/2jAn0rAOyLW6hIEuIDNcoT,2jAn0rAOyLW6hIEuIDNcoT,Baduizm,59.0,265373.0,3.0,https://i.scdn.co/image/ab67616d0000b273b5e18a80757ba2f787213d21,['Erykah Badu'],1997-01-01,"['afrofuturism', 'alternative r&b', 'neo soul', 'r&b']",100.0
2023-12-10 01:03:00,Peter Bjorn and John,Young Folks,276693,samfa,https://open.spotify.com/track/4dyx5SzxPPaD8xQIid5Wjj,4dyx5SzxPPaD8xQIid5Wjj,Writer's Block,74.0,276693.0,3.0,https://i.scdn.co/image/ab67616d0000b2739cf4ac84b224a02f34d2e4f6,['Peter Bjorn and John'],2006-01-01,"['alternative dance', 'baroque pop', 'dance-punk', 'indie rock', 'modern rock', 'new rave', 'swedish alternative rock', 'swedish indie pop']",100.0
2023-12-10 01:06:00,Carole King,I Feel the Earth Move,178560,samfa,https://open.spotify.com/track/1BWsOxeMx83OrKGCV4gxly,1BWsOxeMx83OrKGCV4gxly,Tapestry,61.0,178560.0,1.0,https://i.scdn.co/image/ab67616d0000b27323350feac07f56d8b96f33d5,['Carole King'],1971,"['brill building pop', 'classic rock', 'folk', 'folk rock', 'mellow gold', 'singer-songwriter', 'soft rock']",100.0
2023-12-10 01:10:00,Amy Winehouse,Cupid - Deluxe Edition Version,228853,samfa,https://open.spotify.com/track/5kG1ARHk8dli0bKiMN2oE6,5kG1ARHk8dli0bKiMN2oE6,Back To Black (Deluxe Edition),53.0,228853.0,2.0,https://i.scdn.co/image/ab67616d0000b27376ffb5b5ab045d22c81235c1,['Amy Winehouse'],2006,"['british soul', 'neo soul']",100.0
