trackName,artistName,external_urls,spotify_id,album,popularity,duration_ms,track_number,album_artwork,artists_involved,genre,release_date,genres
Vienna (In Memoriam),"The Army, The Navy",https://open.spotify.com/track/3T5ropII0GpY62f6SZJOIi,3T5ropII0GpY62f6SZJOIi,Fruit For Flies,51,145888,4,https://i.scdn.co/image/ab67616d0000b2733c8ca3873f70ad5c44adbb35,"['The Army, The Navy']",,2024-03-08,[]
Don't Start Now,Dua Lipa,https://open.spotify.com/track/3PfIrDoz19wz7qK7tYeu62,3PfIrDoz19wz7qK7tYeu62,Future Nostalgia,80,183290,2,https://i.scdn.co/image/ab67616d0000b2734bc66095f8a70bc4e6593f4f,['Dua Lipa'],,2020-03-27,"['dance pop', 'pop', 'uk pop']"
Everything Stays (feat. Olivia Olson),Adventure Time,https://open.spotify.com/track/2jnOUdpaFKr9koG1Vtbj6v,2jnOUdpaFKr9koG1Vtbj6v,"Adventure Time, Vol. 3 (Original Soundtrack)",63,95058,11,https://i.scdn.co/image/ab67616d0000b273ef32855c467398112c07e8d4,"['Adventure Time', 'Olivia Olson']",,2019-05-01,['pov: indie']
サラマンダー,DECO*27,https://open.spotify.com/track/64LMCa7fkdfHYLtCm0kGTR,64LMCa7fkdfHYLtCm0kGTR,サラマンダー,55,155647,1,https://i.scdn.co/image/ab67616d0000b273ffe33cd03d4ce1622cfab60a,['DECO*27'],,2022-01-08,"['anime rock', 'j-pixie', 'vocaloid']"
Maneater,Daryl Hall & John Oates,https://open.spotify.com/track/7j74lucZ59vqN67Ipe2ZcY,7j74lucZ59vqN67Ipe2ZcY,H2O,79,273173,1,https://i.scdn.co/image/ab67616d0000b273cfe4163cbb6d12f3ec15898e,['Daryl Hall & John Oates'],,1982-10-04,"['album rock', 'classic rock', 'mellow gold', 'rock', 'singer-songwriter', 'soft rock', 'yacht rock']"
Daddy Cool,Boney M.,https://open.spotify.com/track/3WMbD1OyfKuwWDWMNbPQ4g,3WMbD1OyfKuwWDWMNbPQ4g,Take The Heat Off Me,69,208600,1,https://i.scdn.co/image/ab67616d0000b273dafd1cd6e9537ec8463ea691,['Boney M.'],,1976,['europop']
Down Under,Men At Work,https://open.spotify.com/track/3ZZq9396zv8pcn5GYVhxUi,3ZZq9396zv8pcn5GYVhxUi,Business As Usual,77,222320,3,https://i.scdn.co/image/ab67616d0000b273aa5e4c9da271951ac0b31fa2,['Men At Work'],,1981-11-09,"['album rock', 'australian rock', 'classic rock', 'hard rock', 'mellow gold', 'new romantic', 'new wave', 'new wave pop', 'rock', 'soft rock']"
Hey Ya!,Outkast,https://open.spotify.com/track/2PpruBYCo4H7WOBJ7Q2EwM,2PpruBYCo4H7WOBJ7Q2EwM,Speakerboxxx/The Love Below,80,235213,9,https://i.scdn.co/image/ab67616d0000b2736e88eb6508fd94cd1b745ce2,['Outkast'],,2003,"['atl hip hop', 'dirty south rap', 'hip hop', 'old school atlanta hip hop', 'rap', 'southern hip hop']"
SexyBack (feat. Timbaland),Justin Timberlake,https://open.spotify.com/track/0O45fw2L5vsWpdsOdXwNAR,0O45fw2L5vsWpdsOdXwNAR,FutureSex/LoveSounds,79,242733,2,https://i.scdn.co/image/ab67616d0000b273c6ba98fd3f3b396a6c6f7091,"['Justin Timberlake', 'Timbaland']",,2006-09-12,"['dance pop', 'pop', 'pop rap']"
Comedy,Gen Hoshino,https://open.spotify.com/track/5SuOikwiRyPMVoIQDJUgSV,5SuOikwiRyPMVoIQDJUgSV,Comedy,61,230666,1,https://i.scdn.co/image/ab67616d0000b27326573d555999566291e3b7a8,['Gen Hoshino'],,2022-04-08,"['j-acoustic', 'j-pop', 'japanese singer-songwriter']"
We Are,ONE OK ROCK,https://open.spotify.com/track/57sk9X1fPLXRfkw74XNrmK,57sk9X1fPLXRfkw74XNrmK,Ambitions,58,255400,4,https://i.scdn.co/image/ab67616d0000b2730f94f53a1c9c60d953ffd2f2,['ONE OK ROCK'],,2017-01-13,"['j-pop', 'j-rock']"
劣等上等 feat. 鏡音リン・レン,Giga,https://open.spotify.com/track/367IrkRR4wk5WtSL41rONn,367IrkRR4wk5WtSL41rONn,劣等上等 feat. 鏡音リン・レン,52,235096,1,https://i.scdn.co/image/ab67616d0000b273019ec20f61b18f2b5dc09cb4,"['Giga', '鏡音リン・レン']",,2018-08-22,['vocaloid']
Kaikai Kitan,Eve,https://open.spotify.com/track/6y4GYuZszeXNOXuBFsJlos,6y4GYuZszeXNOXuBFsJlos,Kaikai Kitan / Ao No Waltz,71,221426,1,https://i.scdn.co/image/ab67616d0000b2734b54d2a72484832db80a0fe9,['Eve'],,2020-12-23,"['anime', 'anime rock']"
Confident,Demi Lovato,https://open.spotify.com/track/3DXXKDbbZKyAZfNb96ST3q,3DXXKDbbZKyAZfNb96ST3q,Confident,69,205745,1,https://i.scdn.co/image/ab67616d0000b273ed164cf1c10f028e8f528784,['Demi Lovato'],,2015-01-01,"['pop', 'post-teen pop']"
