Artist,Percentage_Listened
Arcade Player,0.004046564694639125
Arctic Monkeys,0.0003834990978331535
Aretha Franklin,0.06389717518314897
Ari Afsar,0.08427468029905795
Ariana DeBose,0.020185407774582033
Ariana Grande,0.8854229605318721
Armand Van Helden,0.002099622781395479
AronChupa,0.0004966475620064177
Aru Hirose,8.775961821635345e-05
Asa,7.41957142119765e-05
AsapSCIENCE,0.002736198823173546
Ash Costello,0.012782646319885533
Ashley Jana,2.6953911803569586e-05
Ashley Kutcher,0.009462793866711682
Ashley Lilley,0.002335252139420232
Ashley Park,0.04893323283083306
Ashley Tisdale,0.010999630562728973
Ashnikko,0.0384333219964021
Assassin's Creed,0.0014131964941312399
Auden Durant,0.028151419037870544
Audien,0.0004212345743581509
Audioable Noise,0.010317841507602982
Audra McDonald,0.00015343441837429827
Audrey Bennett,0.0010288279152721647
August Alsina,0.00010138148762245852
Auli'i Cravalho,0.002181991617251118
Aun J-Classic Orchestra,6.828324323570962e-05
Auplaudios,0.009323387075555585
AurorA,0.005996926566584728
Ava Acres,0.03910931451135528
Ava Max,0.1760482286888776
Avian Invasion,0.01653399322352341
Avicii,0.07019094257198334
Avraham Fried,0.0003714422942737074
Avril Lavigne,0.24616370030781093
Aya,8.03400467951558e-05
Aya Hirano,0.22671230841531193
Ayana,0.0005156022483715086
Ayesha Erotica,0.011150862295837602
Ayumi Hamasaki,0.0006393004156592881
Azari,0.00016815763041323737
Aziz Ansari,0.027290111133592608
B.o.B,0.06627706068189985
BBVB,0.011129357131796474
BEAT CRUSADERS,0.00012364020188605147
BEAT MARIO,9.767170191185968e-05
BIA,0.013755711518695257
BICEP,8.21369742487271e-05
BOYS LIKE GIRLS,1.3447973200920742e-05
BRAVO,0.0004253501178808465
BT,0.016048938741862615
BTS,0.032259427058341464
BUCK-TICK,6.55009039527605e-05
BUMP OF CHICKEN,0.0010623319174710103
BURNOUT SYNDROMES,0.00034692292934271823
Baasik,0.04426840916136195
Baby Tate,0.0022557815736509983
BabyTron,0.02364246433364631
Backstreet Boys,0.030767687444868637
"Bad Cop, Bad Cop",0.009993235257925585
Bailee Bonick,6.874696644953448e-05
Bakermat,0.00010630854676934757
Bandai Namco Game Music,0.00012984249987095888
Barenaked Ladies,9.146940392695228e-05
Barrett Wilbert Weed,0.2726609027111648
Basement Jaxx,7.048592850137767e-05
Basit,0.03529582869706487
Bastille,0.012809426335483917
Beach Bunny,0.0002543521827829319
Bear McCreary,0.0004426817729975504
Bebe Neuwirth,0.013852919497393295
Bebe Rexha,0.1040233187716187
Becky G,0.012064860750286389
Bee Gees,0.016746958109472472
Beetlejuice Original Broadway Cast Recording Ensemble,0.00027179976870309204
Bella Thorne,0.008971479121664249
Belle,0.0001187131427391624
Belle and Sebastian,0.006272262224793235
Ben Babbitt,0.012044398963476366
Ben Chappell,0.00021771804889076851
