endTime,artistName,trackName,msPlayed,user_id,external_urls,spotify_id,album,popularity,duration_ms,track_number,album_artwork,artists_involved,release_date,genres,percentage_listened
2023-12-12 15:08:00,Simon & Garfunkel,Scarborough Fair / Canticle,190346,shari,https://open.spotify.com/track/3g2fYZW5v2od8KIF7VktT0,3g2fYZW5v2od8KIF7VktT0,"Parsley, Sage, Rosemary And Thyme",57.0,190346.0,1.0,https://i.scdn.co/image/ab67616d0000b273fb107b5a07df183f1836d9cb,['Simon & Garfunkel'],1966-10-10,"['classic rock', 'folk', 'folk rock', 'melancholia', 'mellow gold', 'rock', 'soft rock']",100.0
2023-12-12 15:11:00,Simon & Garfunkel,Patterns,162586,shari,https://open.spotify.com/track/4UXEoEb1hOcOI8Fnz2sHlV,4UXEoEb1hOcOI8Fnz2sHlV,"Parsley, Sage, Rosemary And Thyme",34.0,162586.0,2.0,https://i.scdn.co/image/ab67616d0000b273fb107b5a07df183f1836d9cb,['Simon & Garfunkel'],1966-10-10,"['classic rock', 'folk', 'folk rock', 'melancholia', 'mellow gold', 'rock', 'soft rock']",100.0
2023-12-12 15:12:00,Simon & Garfunkel,Cloudy,67787,shari,https://open.spotify.com/track/3C3F1scQRdhKRH1IBbszEE,3C3F1scQRdhKRH1IBbszEE,"Parsley, Sage, Rosemary And Thyme",35.0,131640.0,3.0,https://i.scdn.co/image/ab67616d0000b273fb107b5a07df183f1836d9cb,['Simon & Garfunkel'],1966-10-10,"['classic rock', 'folk', 'folk rock', 'melancholia', 'mellow gold', 'rock', 'soft rock']",51.49422667882103
2023-12-12 15:15:00,CoComelon,Clean up Song,157824,shari,https://open.spotify.com/track/2GToYdregYT3o89jbo9daC,2GToYdregYT3o89jbo9daC,"CoComelon Kids Hits, Vol. 4",41.0,157824.0,10.0,https://i.scdn.co/image/ab67616d0000b273200258a047cc9407facfb606,['CoComelon'],2020-06-04,"[""children's music"", ""preschool children's music""]",100.0
2023-12-12 15:18:00,CoComelon,Clean up Song,157824,shari,https://open.spotify.com/track/2GToYdregYT3o89jbo9daC,2GToYdregYT3o89jbo9daC,"CoComelon Kids Hits, Vol. 4",41.0,157824.0,10.0,https://i.scdn.co/image/ab67616d0000b273200258a047cc9407facfb606,['CoComelon'],2020-06-04,"[""children's music"", ""preschool children's music""]",100.0
2023-12-12 16:36:00,CoComelon,Clean up Song,123369,shari,https://open.spotify.com/track/2GToYdregYT3o89jbo9daC,2GToYdregYT3o89jbo9daC,"CoComelon Kids Hits, Vol. 4",41.0,157824.0,10.0,https://i.scdn.co/image/ab67616d0000b273200258a047cc9407facfb606,['CoComelon'],2020-06-04,"[""children's music"", ""preschool children's music""]",78.16871958637469
2023-12-12 16:38:00,Brenda Lee,Rockin' Around The Christmas Tree,126266,shari,https://open.spotify.com/track/2EjXfH91m7f8HiJN1yQg97,2EjXfH91m7f8HiJN1yQg97,Merry Christmas From Brenda Lee,93.0,126266.0,1.0,https://i.scdn.co/image/ab67616d0000b2737845f74d6db14b400fa61cd3,['Brenda Lee'],1964-10-19,"['adult standards', 'easy listening', 'lounge', 'rockabilly']",100.0
2023-12-12 16:40:00,Frank Sinatra,Let It Snow! Let It Snow! Let It Snow! (with The B. Swanson Quartet),155453,shari,https://open.spotify.com/track/0SUKNXEqZnRw7g0NO139FM,0SUKNXEqZnRw7g0NO139FM,The Classic Christmas Album,79.0,155586.0,2.0,https://i.scdn.co/image/ab67616d0000b2732e1e77d6acadd7e238d7bc42,"['Frank Sinatra', 'B. Swanson Quartet']",1945,"['adult standards', 'easy listening', 'lounge']",99.91451673029707
2023-12-12 16:43:00,Perry Como,It's Beginning to Look a Lot Like Christmas (with Mitchell Ayres & His Orchestra),155933,shari,https://open.spotify.com/track/2pXpURmn6zC5ZYDMms6fwa,2pXpURmn6zC5ZYDMms6fwa,Greatest Christmas Songs,87.0,155933.0,8.0,https://i.scdn.co/image/ab67616d0000b273d5f598be32d3027b9578ecd6,"['Perry Como', 'The Fontane Sisters', 'Mitchell Ayres & His Orchestra']",1999-08-23,"['adult standards', 'deep adult standards', 'easy listening', ""man's orchestra"", 'vocal harmony group']",100.0
2023-12-12 16:45:00,Bobby Helms,Jingle Bell Rock,131733,shari,https://open.spotify.com/track/7vQbuQcyTflfCIOu3Uzzya,7vQbuQcyTflfCIOu3Uzzya,Jingle Bell Rock/Captain Santa Claus (And His Reindeer Space Patrol),90.0,130973.0,1.0,https://i.scdn.co/image/ab67616d0000b273fd56f3c7a294f5cfe51c7b17,['Bobby Helms'],1957-12-02,[],100.58027226985715
