end_time_local,album_artist_name,ms_played_minutes
2014-03,Carly Rae Jepsen,0.021316666666666668
2014-03,HIGH and MIGHTY COLOR,0.021116666666666666
2014-03,Demi Lovato,0.018116666666666666
2014-03,Thematic Pianos,0.01715
2014-03,ANISON PROJECT,0.0
2014-03,Akiko Shikata,0.0
2014-03,Charm,0.0
2014-03,Cher Lloyd,0.0
2014-03,Christina Perri,0.0
2014-03,D=OUT,0.0
2014-03,Hanako Oku,0.0
2014-03,Hot Chelle Rae,0.0
2014-03,Jerry Yan,0.0
2014-03,Jessie J,0.0
2014-03,Kesha,0.0
2014-03,KnuthP,0.0
2014-03,L'Arc-en-Ciel,0.0
2014-03,Lia,0.0
2014-03,Neoromancia,0.0
2014-03,Phillip Phillips,0.0
2014-03,Tempo-P & NeutrinoP,0.0
2014-03,Toraboruta,0.0
2014-03,mappu,0.0
2014-04,Throw The Fight,2.9339166666666667
2014-04,Maia Wilson,2.7141
2014-04,Surface 2 Air,2.5354666666666668
2014-04,Kristen Anderson-Lopez,1.4322
2014-04,Of Mice & Men,1.4192
2014-04,Original Cast Recording,1.2925666666666666
2014-04,Robert Lopez,0.98495
2014-04,Broken Iris,0.7439333333333333
2014-04,Jonathan Groff,0.7352833333333333
2014-04,StarKid,0.6398833333333334
2014-04,The Space Tour Cast,0.62885
2014-04,I The Mighty,0.44095
2014-04,Monsalve,0.4121666666666667
2014-04,Demi Lovato,0.3991166666666667
2014-04,Aperture Science Psychoacoustic Laboratories,0.3233666666666667
2014-04,Billy Crystal,0.28981666666666667
2014-04,Stephen Schwartz,0.25993333333333335
2014-04,Anime Toonz presents Yukari Fukui,0.24843333333333334
2014-04,Manga Star,0.21865
2014-04,Shiroku,0.17821666666666666
2014-04,Pitty,0.17551666666666665
2014-04,Duc de Japan,0.16148333333333334
2014-04,Evanescence,0.15938333333333332
2014-04,Hugh Jackman,0.14403333333333335
2014-04,The Evolved,0.12361666666666667
2014-04,Samuel E. Wright,0.11066666666666666
2014-04,Lost Autumn,0.09685
2014-04,Devin Taylor,0.08863333333333333
2014-04,Josh Gad,0.08495
2014-04,Inon Zur,0.0725
2014-04,The Seeking,0.0677
2014-04,Emil Bulls,0.06423333333333334
2014-04,Miracle Of Sound,0.0636
2014-04,Lemon Demon,0.062
2014-04,Random Encounter,0.059583333333333335
2014-04,R. Master,0.050866666666666664
2014-04,Renée Zellweger,0.050583333333333334
2014-04,Justified Fighting Crew Of MuMu,0.05
2014-04,12 Stones,0.04643333333333333
2014-04,FORTHANGEL,0.04643333333333333
2014-04,Harajuku Nation,0.04488333333333333
2014-04,Christophe Beck,0.044333333333333336
2014-04,Cosplay Memories,0.043816666666666663
2014-04,ANISON PROJECT,0.04301666666666667
2014-04,Nightwish,0.037033333333333335
2014-04,Jonas B. Ingebretsen,0.0349
2014-04,Kristen Bell,0.03403333333333333
2014-04,Aaron Tveit,0.0334
2014-04,Jack Wall/Slovak National Symphony Orchestra/Crouch End Festival Chorus/David Temple/Standford Talisman,0.03326666666666667
2014-04,Bird Of Pray,0.0325
2014-04,John Tartaglia,0.03166666666666667
2014-04,Anime Project,0.028766666666666666
2014-04,Lea Michele,0.0263
2014-04,Brian Tuey,0.021666666666666667
2014-04,Darren Korb,0.0
2014-04,Hans Zimmer,0.0
2014-04,Martin O'Donnell,0.0
2014-04,Nostromo Pilots,0.0
2014-04,Ramin Djawadi,0.0
2014-04,Sub Par All Star,0.0
2014-04,The Office Band,0.0
2014-06,Bart Baker,6.56845
2014-06,Stephen Schwartz,5.1644
2014-06,GameChap,4.7377
2014-06,One Direction,4.4161
2014-06,Evanescence,4.0173000000000005
2014-06,Angela Lansbury,3.748883333333333
2014-06,Jodi Benson,3.2582166666666668
2014-06,Lea Salonga,3.0970166666666668
2014-06,Selena Gomez,3.0936833333333333
2014-06,Jason Derulo,3.03865
2014-06,Mandy Moore,2.5765
2014-06,Susan Egan,2.2950833333333334
2014-06,Kristen Bell,2.1227
2014-06,Ariana Grande,1.7707333333333333
2014-06,Michael Bolton,1.7650333333333332
2014-06,OneRepublic,1.5147
2014-06,Brad Kane,1.0574833333333333
2014-06,Olly Murs,0.8967833333333334
2014-06,Britney Spears,0.8770166666666667
2014-06,Creed,0.7609666666666667
2014-06,Mary Costa,0.6009833333333333
2014-06,Katy Perry,0.42185
2014-06,EA Games Soundtrack,0.3921
2014-06,Avril Lavigne,0.3077833333333333
2014-06,Demi Lovato,0.30023333333333335
2014-06,Phil Collins,0.2992666666666667
2014-06,Verna Felton,0.21138333333333334
2014-06,Michelle Branch,0.21076666666666666
2014-06,MKTO,0.2027
2014-06,The Key of Awesome,0.17418333333333333
2014-06,The Wanted,0.15816666666666668
2014-06,Austin Mahone,0.15526666666666666
2014-06,Mark Douglas,0.15516666666666667
2014-06,Sarah McLachlan,0.1499
2014-06,Your Favorite Martian,0.1359
2014-06,Smosh,0.1298
2014-06,Polarix,0.12933333333333333
2014-06,Spoon,0.10965
2014-06,Kesha,0.09781666666666666
2014-06,Little Mix,0.08274999999999999
2014-06,Colbie Caillat,0.08035
2014-06,Conor Maynard,0.07063333333333333
2014-06,Rucka Rucka Ali,0.07056666666666667
2014-06,Randy Newman,0.06978333333333334
2014-06,Daddy Yankee,0.0692
2014-06,Bruce Adler,0.06891666666666667
2014-06,Carrie Underwood,0.06475
2014-06,Original Cast Recording,0.05895
2014-06,Miley Cyrus,0.05726666666666667
2014-06,Tryhardninja,0.0559
2014-06,Donny Osmond,0.055716666666666664
2014-06,Naya Rivera,0.0534
2014-06,Anika Noni Rose,0.05285
2014-06,Roger Bart,0.052616666666666666
2014-06,Screen Team,0.052616666666666666
2014-06,Tony Banks,0.04953333333333333
2014-06,Bryant Oden,0.048883333333333334
2014-06,Rihanna,0.04875
2014-06,Amon Tobin,0.0471
2014-06,Elton John,0.04661666666666667
2014-06,Maroon 5,0.04643333333333333
2014-06,Parachute,0.04643333333333333
2014-06,Rene Auberjonois,0.04618333333333333
2014-06,Cher Lloyd,0.044783333333333335
2014-06,Jason Weaver,0.0426
2014-06,The Yogscast,0.0424
2014-06,Arcade Fire,0.04101666666666667
2014-06,MIKA,0.04078333333333333
2014-06,Amy Adams,0.040183333333333335
2014-06,Samuel E. Wright,0.039466666666666664
2014-06,Chorus - Bambi,0.03843333333333333
2014-06,Epic Rap Battles of History,0.036166666666666666
2014-06,Ed Motta,0.035616666666666665
2014-06,Idina Menzel,0.03495
2014-06,Limp Bizkit,0.03326666666666667
2014-06,Andrew Lloyd Webber,0.033016666666666666
2014-06,Peter Gabriel,0.033016666666666666
2014-06,Alicia Keys,0.031733333333333336
2014-06,Taylor Swift,0.031733333333333336
2014-06,JAY-Z,0.03166666666666667
2014-06,Dick Van Dyke,0.02915
2014-06,Lea Michele,0.028916666666666667
2014-06,Cody Simpson,0.028633333333333334
2014-06,Justin Bieber,0.028233333333333333
2014-06,Rixton,0.027083333333333334
2014-06,James Hannigan,0.02615
2014-06,Silversun Pickups,0.025033333333333335
2014-06,Bridgit Mendler,0.0247
2014-06,Ingrid Michaelson,0.0247
2014-06,Bobby Driscoll,0.02465
2014-06,Frank Klepacki,0.022916666666666665
2014-06,Jeremy Irons,0.022866666666666667
2014-06,Owl City,0.021066666666666668
2014-06,Mark Keali'i Ho'omalu,0.020883333333333334
2014-06,Bloc Party,0.0203
2014-06,Tay Zonday,0.020116666666666668
2014-06,The Summer Set,0.017583333333333333
2014-06,Emblem3,0.017533333333333335
2014-06,Megan Nicole,0.0175
2014-06,He Is We,0.0174
2014-06,Adele,0.0173
2014-06,Bruno Mars,0.01715
2014-06,Nina Nesbitt,0.016916666666666667
2014-06,Hot Chelle Rae,0.016766666666666666
2014-06,5 Seconds of Summer,0.0
2014-06,A Rocket To The Moon,0.0
2014-06,Bastille,0.0
2014-06,Bill Brown,0.0
2014-06,Christina Perri,0.0
2014-06,E.S. Posthumus,0.0
2014-06,Ed Sheeran,0.0
2014-06,Ellie Goulding,0.0
2014-06,GROUPLOVE,0.0
2014-06,Immediate,0.0
2014-06,Jeremy Soule,0.0
2014-06,Johan Skugge & Jukka Rintamäki,0.0
2014-06,Jonas Brothers,0.0
2014-06,Metric,0.0
2014-06,Modest Mouse,0.0
2014-06,Paramore,0.0
2014-06,Phillip Phillips,0.0
2014-06,Ramin Djawadi,0.0
2014-06,Sam Hulick,0.0
2014-06,The Black Keys,0.0
2014-06,The Rapture,0.0
2014-06,The Vamps,0.0
2014-06,The Walkmen,0.0
2014-06,Tori Kelly,0.0
2014-06,We The Kings,0.0
2014-06,Yeah Yeah Yeahs,0.0
2018-12,Six13,6.11985
2018-12,Pharrell Williams,3.8884166666666666
2018-12,Matisyahu,3.7666666666666666
2018-12,Adam Sandler,3.7324333333333333
2018-12,Lil Wayne,3.6973333333333334
2018-12,Hailee Steinfeld,3.6462166666666667
2018-12,Kanye West,3.267333333333333
2018-12,Drake,1.5354833333333333
2018-12,Maccabeats,1.5272833333333333
2018-12,Stereo Wall,1.1539833333333334
2018-12,Beyoncé,0.84
2018-12,ליאור נרקיס,0.15466666666666667
2018-12,Café Shahor Hazak,0.08211666666666667
2018-12,Nadav Guedj,0.0519
2019-01,Ani V'Ata,1.9016166666666667
2019-03,Nava Tehila,0.19491666666666665
2021-10,Manginah (Brandeis University),0.33973333333333333
2022-12,Dai,6.9744166666666665
2022-12,Red Hot Chili Peppers,5.638883333333333
2022-12,Masked Wolf,0.552
2022-12,David Bowie,0.4529666666666667
2022-12,Katy Perry,0.44656666666666667
2022-12,"Crosby, Stills, Nash & Young",0.352
2022-12,Meet Bros Anjjan,0.12656666666666666
2022-12,Quad City DJ's,0.05545
2023-01,Charles Bradley,1.3905666666666667
2023-01,Tom Mansi,0.6727
2023-01,Chance the Rapper,0.30683333333333335
2023-01,Sufjan Stevens,0.25101666666666667
2023-01,Djo,0.1831
2023-01,"Slaughter Beach, Dog",0.11555
2023-01,Barrett Wilbert Weed,0.10061666666666666
2023-01,Noname,0.08568333333333333
2023-01,Jamila Woods,0.0768
2023-01,The War And Treaty,0.02275
2023-02,Vengaboys,0.6794666666666667
2023-02,Bella Thorne,0.14968333333333333
2023-02,The Jackson 5,0.07288333333333333
2023-03,Britney Spears,0.9358166666666666
2023-04,Dai,0.5841666666666666
2023-04,Whitney Houston,0.023466666666666667
2023-04,AmaLee,0.0224
2023-05,QUARTET NIGHT,0.0263
2024-04,Leith Ross,0.2887
2024-05,RuPaul,45.213033333333335
2024-05,Nicki Minaj,40.253416666666666
2024-05,Adele,24.9767
2024-05,Ado,13.612183333333332
2024-05,Train,11.86105
2024-05,神前 暁,11.849516666666666
2024-05,YOASOBI,11.46285
2024-05,Madonna,9.387683333333333
2024-05,Capcom Sound Team,8.069516666666667
2024-05,Alicia Keys,7.560433333333334
2024-05,Cleo Laine,7.4465
2024-05,アトラスサウンドチーム,7.302133333333334
2024-05,Bitmaster,7.301416666666666
2024-05,Lin-Manuel Miranda,7.085566666666667
2024-05,asmi,6.648433333333333
2024-05,John Herrera,6.477116666666667
2024-05,Bob the Drag Queen,6.465933333333334
2024-05,ST☆RISH,5.062133333333334
2024-05,Dixie Flatline,5.024483333333333
2024-05,Billie Eilish,4.786183333333334
2024-05,Lady Gaga,4.380966666666667
2024-05,OneRepublic,4.287766666666666
2024-05,George N. Martin,4.078316666666667
2024-05,Hozier,4.028216666666666
2024-05,ヨルシカ,4.0281666666666665
2024-05,Wonderful★opportunity!,4.0
2024-05,Cher,3.9837666666666665
2024-05,ABBA,3.9713666666666665
2024-05,Cyndi Lauper,3.9711
2024-05,TK from Ling tosite sigure,3.9032833333333334
2024-05,MY FIRST STORY,3.8564166666666666
2024-05,Adam Lambert,3.811066666666667
2024-05,3 Doors Down,3.806783333333333
2024-05,Phillipa Soo,3.754
2024-05,Flo Rida,3.751533333333333
2024-05,Lyn,3.7093
2024-05,U2 Akiyama,3.691666666666667
2024-05,黒崎真音,3.6782166666666667
2024-05,Dai,3.65515
2024-05,Corinne Bailey Rae,3.5893333333333333
2024-05,Leona Lewis,3.5692333333333335
2024-05,Giga,3.4626833333333336
2024-05,Kairikibear,3.3838833333333334
2024-05,The Script,3.37555
2024-05,Carrie Underwood,3.3324333333333334
